,date,ndvi,evi
0,2020-01-01,,
1,2020-01-02,,
2,2020-01-03,,
3,2020-01-04,,
4,2020-01-05,,
5,2020-01-06,,
6,2020-01-07,,
7,2020-01-08,,
8,2020-01-09,,
9,2020-01-10,,
10,2020-01-11,,
11,2020-01-12,,
12,2020-01-13,,
13,2020-01-14,,
14,2020-01-15,,
15,2020-01-16,,
16,2020-01-17,,
17,2020-01-18,,
18,2020-01-19,,
19,2020-01-20,,
20,2020-01-21,,
21,2020-01-22,,
22,2020-01-23,,
23,2020-01-24,,
24,2020-01-25,,
25,2020-01-26,,
26,2020-01-27,,
27,2020-01-28,,
28,2020-01-29,,
29,2020-01-30,,
30,2020-01-31,,
31,2020-02-01,,
32,2020-02-02,,
33,2020-02-03,,
34,2020-02-04,,
35,2020-02-05,,
36,2020-02-06,,
37,2020-02-07,,
38,2020-02-08,,
39,2020-02-09,,
40,2020-02-10,,
41,2020-02-11,,
42,2020-02-12,,
43,2020-02-13,,
44,2020-02-14,,
45,2020-02-15,,
46,2020-02-16,,
47,2020-02-17,,
48,2020-02-18,,
49,2020-02-19,,
50,2020-02-20,,
51,2020-02-21,,
52,2020-02-22,,
53,2020-02-23,,
54,2020-02-24,,
55,2020-02-25,,
56,2020-02-26,,
57,2020-02-27,,
58,2020-02-28,,
59,2020-02-29,,
60,2020-03-01,,
61,2020-03-02,,
62,2020-03-03,,
63,2020-03-04,,
64,2020-03-05,,
65,2020-03-06,,
66,2020-03-07,,
67,2020-03-08,,
68,2020-03-09,,
69,2020-03-10,,
70,2020-03-11,,
71,2020-03-12,,
72,2020-03-13,,
73,2020-03-14,,
74,2020-03-15,,
75,2020-03-16,,
76,2020-03-17,,
77,2020-03-18,,
78,2020-03-19,,
79,2020-03-20,,
80,2020-03-21,,
81,2020-03-22,,
82,2020-03-23,,
83,2020-03-24,,
84,2020-03-25,,
85,2020-03-26,,
86,2020-03-27,,
87,2020-03-28,,
88,2020-03-29,,
89,2020-03-30,,
90,2020-03-31,,
91,2020-04-01,,
92,2020-04-02,,
93,2020-04-03,,
94,2020-04-04,,
95,2020-04-05,,
96,2020-04-06,,
97,2020-04-07,,
98,2020-04-08,0.07056495,-0.122
99,2020-04-09,,
100,2020-04-10,0.49215338,1.160178
101,2020-04-11,,
102,2020-04-12,,
103,2020-04-13,,
104,2020-04-14,,
105,2020-04-15,0.5105194,1.1713475
106,2020-04-16,,
107,2020-04-17,0.13360181,58264.83
108,2020-04-18,,
109,2020-04-19,,
110,2020-04-20,,
111,2020-04-21,,
112,2020-04-22,,
113,2020-04-23,,
114,2020-04-24,,
115,2020-04-25,,
116,2020-04-26,0.55914736,1.2728627
117,2020-04-27,,
118,2020-04-28,,
119,2020-04-29,0.5568201,1.3901924
120,2020-04-30,,
121,2020-05-01,,
122,2020-05-02,,
123,2020-05-03,0.54837584,1.7945642
124,2020-05-04,,
125,2020-05-05,,
126,2020-05-06,0.55515754,1.7699766
127,2020-05-07,,
128,2020-05-08,,
129,2020-05-09,0.57364404,1.8064425
130,2020-05-10,0.649822,1.747042
131,2020-05-11,,
132,2020-05-12,,
133,2020-05-13,0.62295634,1.6278664
134,2020-05-14,,
135,2020-05-15,,
136,2020-05-16,0.64362323,1.635872
137,2020-05-17,,
138,2020-05-18,,
139,2020-05-19,,
140,2020-05-20,,
141,2020-05-21,,
142,2020-05-22,,
143,2020-05-23,,
144,2020-05-24,0.6648049,1.7367488
145,2020-05-25,,
146,2020-05-26,,
147,2020-05-27,,
148,2020-05-28,,
149,2020-05-29,,
150,2020-05-30,,
151,2020-05-31,,
152,2020-06-01,,
153,2020-06-02,,
154,2020-06-03,0.656979,1.6362282
155,2020-06-04,,
156,2020-06-05,,
157,2020-06-06,,
158,2020-06-07,,
159,2020-06-08,,
160,2020-06-09,,
161,2020-06-10,,
162,2020-06-11,,
163,2020-06-12,,
164,2020-06-13,0.6633228,1.7720742
165,2020-06-14,,
166,2020-06-15,,
167,2020-06-16,0.7143396,1.9856056
168,2020-06-17,,
169,2020-06-18,,
170,2020-06-19,0.7379271,1.9823487
171,2020-06-20,,
172,2020-06-21,,
173,2020-06-22,,
174,2020-06-23,,
175,2020-06-24,,
176,2020-06-25,,
177,2020-06-26,,
178,2020-06-27,0.6360311,1.6289043
179,2020-06-28,,
180,2020-06-29,0.68652266,1.8318214
181,2020-06-30,,
182,2020-07-01,,
183,2020-07-02,,
184,2020-07-03,,
185,2020-07-04,,
186,2020-07-05,,
187,2020-07-06,,
188,2020-07-07,0.6641615,1.810773
189,2020-07-08,,
190,2020-07-09,,
191,2020-07-10,,
192,2020-07-11,,
193,2020-07-12,0.52075315,1.3795052
194,2020-07-13,0.63220155,1.5988228
195,2020-07-14,,
196,2020-07-15,,
197,2020-07-16,0.58266884,1.421868
198,2020-07-17,,
199,2020-07-18,,
200,2020-07-19,,
201,2020-07-20,0.54195017,1.3460227
202,2020-07-21,,
203,2020-07-22,,
204,2020-07-23,0.6217541,1.5468184
205,2020-07-24,0.49858108,1.2311761
